y,u,v,w_imag
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.975000000000000533e-01,2.851141562787169910e-03,-1.107224640247127392e-05,-5.677107900429466045e-03
-9.949999999999999956e-01,5.702325555900441406e-03,-4.416965171409857762e-05,-1.130830709021352770e-02
-9.925000000000000488e-01,8.553593107603349802e-03,-9.911371810879594953e-05,-1.689376954148751400e-02
-9.899999999999999911e-01,1.140498393677546150e-02,-1.757266163494034450e-04,-2.243366655290813388e-02
-9.875000000000000444e-01,1.425653636499615677e-02,-2.738311831701665221e-04,-2.792816875359403761e-02
-9.849999999999999867e-01,1.710828732856599713e-02,-3.932509186776706020e-04,-3.337744610706670084e-02
-9.825000000000000400e-01,1.996027239046293741e-02,-5.338099837644576977e-04,-3.878166791518766754e-02
-9.799999999999999822e-01,2.281252575223658222e-02,-6.953331975406455354e-04,-4.414100282209711817e-02
-9.775000000000000355e-01,2.566508026583802157e-02,-8.776460347786645870e-04,-4.945561881814937444e-02
-9.749999999999999778e-01,2.851796744538853332e-02,-1.080574623374215906e-03,-5.472568324385041622e-02
-9.725000000000000311e-01,3.137121747888349521e-02,-1.303945741822456908e-03,-5.995136279378963928e-02
-9.699999999999999734e-01,3.422485923983693834e-02,-1.547586816710057539e-03,-6.513282352057539470e-02
-9.675000000000000266e-01,3.707892029886153407e-02,-1.811325920221483563e-03,-7.027023083876376974e-02
-9.649999999999999689e-01,3.993342693518954489e-02,-2.094991767661768828e-03,-7.536374952878943656e-02
-9.625000000000000222e-01,4.278840414813064180e-02,-2.398413714993271467e-03,-8.041354374089097756e-02
-9.599999999999999645e-01,4.564387566847075139e-02,-2.721421756389182968e-03,-8.541977699903618992e-02
-9.575000000000000178e-01,4.849986396980836278e-02,-3.063846521801050563e-03,-9.038261220484226921e-02
-9.549999999999999600e-01,5.135639027983312371e-02,-3.425519274542443166e-03,-9.530221164149524360e-02
-9.525000000000000133e-01,5.421347459154234744e-02,-3.806271908887343385e-03,-1.001787369776639680e-01
-9.499999999999999556e-01,5.707113567439969087e-02,-4.205936947683980298e-03,-1.050123492714120921e-01
-9.475000000000000089e-01,5.992939108543379745e-02,-4.624347539984217936e-03,-1.098032089741057260e-01
-9.449999999999999512e-01,6.278825718027858382e-02,-5.061337458687054439e-03,-1.145514759343172206e-01
-9.425000000000000044e-01,6.564774912415440034e-02,-5.516741098199069021e-03,-1.192573094017243401e-01
-9.399999999999999467e-01,6.850788090279189002e-02,-5.990393472108626605e-03,-1.239208680310060345e-01
-9.375000000000000000e-01,7.136866533329710993e-02,-6.482130210875030121e-03,-1.285423098857321755e-01
-9.350000000000000533e-01,7.423011407495962166e-02,-6.991787559534823164e-03,-1.331217924422501420e-01
-9.324999999999999956e-01,7.709223764000347479e-02,-7.519202375420880151e-03,-1.376594725935651187e-01
-9.299999999999999378e-01,7.995504540428018114e-02,-8.064212125898020597e-03,-1.421555066532151079e-01
-9.274999999999999911e-01,8.281854561790619185e-02,-8.626654886112727558e-03,-1.466100503591410420e-01
-9.250000000000000444e-01,8.568274541584411375e-02,-9.206369336759629568e-03,-1.510232588775517193e-01
-9.224999999999999867e-01,8.854765082842698531e-02,-9.803194761860764897e-03,-1.553952868067816906e-01
-9.200000000000000400e-01,9.141326679182722181e-02,-1.041697104656132307e-02,-1.597262881811433444e-01
-9.174999999999999822e-01,9.427959715847046562e-02,-1.104753867494048802e-02,-1.640164164747739683e-01
-9.150000000000000355e-01,9.714664470739395319e-02,-1.169473872783633600e-02,-1.682658246054739570e-01
-9.124999999999999778e-01,1.000144111545505504e-01,-1.235841288068595736e-02,-1.724746649385417996e-01
-9.100000000000000311e-01,1.028828971630570688e-01,-1.303840340138137828e-02,-1.766430892905982430e-01
