y,g_hat,dg_hat
-1.000000000000000000e+00,0.000000000000000000e+00,-2.934314920674530036e-05
-9.989999999999999991e-01,-1.022235298821653030e-05,-2.041536282722629381e-02
-9.979999999999999982e-01,-4.083072565445263104e-05,-4.075748996024403104e-02
-9.969999999999999973e-01,-9.173733290870467844e-05,-6.101199306649338072e-02
-9.959999999999999964e-01,-1.628547117874395186e-04,-8.117919198731705921e-02
-9.949999999999999956e-01,-2.540957168833389590e-04,-1.012594020155611757e-01
-9.939999999999999947e-01,-3.653735158185620713e-04,-1.212529339400328643e-01
-9.929999999999999938e-01,-4.966015847634049594e-04,-1.411600940880842203e-01
-9.919999999999999929e-01,-6.476937039947308584e-04,-1.609811843681469568e-01
-9.909999999999999920e-01,-8.185639534996991349e-04,-1.807165023129517767e-01
-9.899999999999999911e-01,-1.009126708620634773e-03,-2.003663411213392753e-01
-9.889999999999999902e-01,-1.219296635742378150e-03,-2.199309897007944992e-01
-9.879999999999999893e-01,-1.448988688022224275e-03,-2.394107327087203752e-01
-9.869999999999999885e-01,-1.698118101159819433e-03,-2.588058505951980059e-01
-9.859999999999999876e-01,-1.966600389212620672e-03,-2.781166196431680282e-01
-9.849999999999999867e-01,-2.254351340446156000e-03,-2.973433120090107629e-01
-9.839999999999999858e-01,-2.561287013230642909e-03,-3.164861957654598879e-01
-9.829999999999999849e-01,-2.887323731977076407e-03,-3.355455349409657284e-01
-9.819999999999999840e-01,-3.232378083112575143e-03,-3.545215895595617006e-01
-9.809999999999999831e-01,-3.596366911096200367e-03,-3.734146156813764605e-01
-9.799999999999999822e-01,-3.979207314475328820e-03,-3.922248654435709359e-01
-9.789999999999999813e-01,-4.380816641983343272e-03,-4.109525870983805618e-01
-9.779999999999999805e-01,-4.801112488672090381e-03,-4.295980250530364586e-01
-9.769999999999999796e-01,-5.240012692089416647e-03,-4.481614199100354412e-01
-9.759999999999999787e-01,-5.697435328492162117e-03,-4.666430085041408660e-01
-9.749999999999999778e-01,-6.173298709097699635e-03,-4.850430239421625878e-01
-9.739999999999999769e-01,-6.667521376376489041e-03,-5.033616956419404431e-01
-9.729999999999999760e-01,-7.180022100381581833e-03,-5.215992493693177856e-01
-9.719999999999999751e-01,-7.710719875115124890e-03,-5.397559072767315058e-01
-9.709999999999999742e-01,-8.259533914935045587e-03,-5.578318879408774578e-01
-9.699999999999999734e-01,-8.826383650996881547e-03,-5.758274064004176296e-01
-9.689999999999999725e-01,-9.411188727735882859e-03,-5.937426741933409247e-01
-9.679999999999999716e-01,-1.001386899938356417e-02,-6.115778993934242180e-01
-9.669999999999999707e-01,-1.063434452652273210e-02,-6.293332866473502207e-01
-9.659999999999999698e-01,-1.127253557267826611e-02,-6.470090372119736699e-01
-9.649999999999999689e-01,-1.192836260094668095e-02,-6.646053489896530664e-01
-9.639999999999999680e-01,-1.260174627065757322e-02,-6.821224165647521431e-01
-9.629999999999999671e-01,-1.329260743407618614e-02,-6.995604312402123881e-01
-9.619999999999999662e-01,-1.400086713313799906e-02,-7.169195810724175999e-01
-9.609999999999999654e-01,-1.472644659622102288e-02,-7.342000509069617209e-01
-9.599999999999999645e-01,-1.546926723495192432e-02,-7.514020224142052840e-01
-9.589999999999999636e-01,-1.622925064104943638e-02,-7.685256741241266454e-01
-9.579999999999999627e-01,-1.700631858320017856e-02,-7.855711814606660681e-01
-9.569999999999999618e-01,-1.780039300397076932e-02,-8.025387167774464814e-01
-9.559999999999999609e-01,-1.861139601675507529e-02,-8.194284493908430278e-01
-9.549999999999999600e-01,-1.943924990275245485e-02,-8.362405456152224303e-01
-9.539999999999999591e-01,-2.028387710798552207e-02,-8.529751687968971652e-01
-9.529999999999999583e-01,-2.114520024034625273e-02,-8.696324793467837821e-01
-9.519999999999999574e-01,-2.202314206667909183e-02,-8.862126347750809430e-01
-9.509999999999999565e-01,-2.291762550989641725e-02,-9.027157897241124829e-01
-9.499999999999999556e-01,-2.382857364612731704e-02,-9.191420960019343056e-01
-9.489999999999999547e-01,-2.475590970190028745e-02,-9.354917026141773562e-01
-9.479999999999999538e-01,-2.569955705135567453e-02,-9.517647557978907713e-01
-9.469999999999999529e-01,-2.665943921349607157e-02,-9.679613990539888135e-01
-9.459999999999999520e-01,-2.763547984946365318e-02,-9.840817731782891542e-01
-9.449999999999999512e-01,-2.862760275985265154e-02,-1.000126016295011411e+00
-9.439999999999999503e-01,-2.963573188205367859e-02,-1.016094263888202676e+00
-9.429999999999999494e-01,-3.065979128762905820e-02,-1.031986648833095543e+00
-9.419999999999999485e-01,-3.169970517971987256e-02,-1.047803301428157141e+00
-9.409999999999999476e-01,-3.275539789048537154e-02,-1.063544349425781022e+00
-9.399999999999999467e-01,-3.382679387857143866e-02,-1.079209918063661178e+00
-9.390000000000000568e-01,-3.491381772661257543e-02,-1.094800130095901380e+00
-9.379999999999999449e-01,-3.601639413876325108e-02,-1.110315105823662662e+00
-9.370000000000000551e-01,-3.713444793825989437e-02,-1.125754963125029207e+00
-9.359999999999999432e-01,-3.826790406501331954e-02,-1.141119817485655830e+00
-9.350000000000000533e-01,-3.941668757323120442e-02,-1.156409782029605537e+00
-9.339999999999999414e-01,-4.058072362907253622e-02,-1.171624967548119400e+00
-9.330000000000000515e-01,-4.175993750832743961e-02,-1.186765482529875015e+00
-9.319999999999999396e-01,-4.295425459413228925e-02,-1.201831433190523768e+00
-9.310000000000000497e-01,-4.416360037470848376e-02,-1.216822923501901244e+00
-9.299999999999999378e-01,-4.538790044113610173e-02,-1.231740055221084873e+00
-9.290000000000000480e-01,-4.662708048515065012e-02,-1.246582927919760664e+00
-9.279999999999999361e-01,-4.788106629697563149e-02,-1.261351639012740833e+00
-9.270000000000000462e-01,-4.914978376317612890e-02,-1.276046283785802871e+00
-9.260000000000000453e-01,-5.043315886454709240e-02,-1.290666955425344042e+00
-9.250000000000000444e-01,-5.173111767402682054e-02,-1.305213745046092555e+00
-9.240000000000000435e-01,-5.304358635463927996e-02,-1.319686741718580691e+00
-9.230000000000000426e-01,-5.437049115746398625e-02,-1.334086032497580732e+00
-9.220000000000000417e-01,-5.571175841963444536e-02,-1.348411702449610061e+00
-9.210000000000000409e-01,-5.706731456236321248e-02,-1.362663834680496677e+00
-9.200000000000000400e-01,-5.843708608899544216e-02,-1.376842510362379812e+00
-9.190000000000000391e-01,-5.982099958308797344e-02,-1.390947808760873983e+00
-9.180000000000000382e-01,-6.121898170651719068e-02,-1.404979807262183300e+00
-9.170000000000000373e-01,-6.263095919761234309e-02,-1.418938581399757481e+00
-9.160000000000000364e-01,-6.405685886931671014e-02,-1.432824204881004704e+00
-9.150000000000000355e-01,-6.549660760737435750e-02,-1.446636749613155359e+00
-9.140000000000000346e-01,-6.695013236854302496e-02,-1.460376285730141888e+00
-9.130000000000000338e-01,-6.841736017883463805e-02,-1.474042881618139234e+00
-9.120000000000000329e-01,-6.989821813177930776e-02,-1.487636603941844271e+00
-9.110000000000000320e-01,-7.139263338671833492e-02,-1.501157517669618358e+00
-9.100000000000000311e-01,-7.290053316711854470e-02,-1.514605686099578463e+00
-9.090000000000000302e-01,-7.442184475891749917e-02,-1.527981170884785911e+00
-9.080000000000000293e-01,-7.595649550888811108e-02,-1.541284032057966158e+00
-9.070000000000000284e-01,-7.750441282303342783e-02,-1.554514328056853856e+00
-9.060000000000000275e-01,-7.906552416500182978e-02,-1.567672115749509487e+00
-9.050000000000000266e-01,-8.063975705453245435e-02,-1.580757450458385449e+00
